residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3856,0,50,298,3508,122
Cluster domiciliati Comune di Vò,88,0,0,4,84,
Treviso,2666,0,132,324,2210,221
Venezia,2680,+1),76,298,2306,105
Verona,5118,0,88,571,4459,246
Vicenza,2856,0,67,340,2449,50
Belluno,1183,0,38,112,1033,46
Rovigo,443,0,9,35,399,57
Domicilio fuori Veneto,317,0,115,15,187,
Assegnazione in corso,26,-1,25,0,1,
