residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3813,+1),462,256,3095,452
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2613,+4),825,283,1505,997
Venezia,2604,+5),440,250,1914,727
Verona,4948,+2),2006,476,2466,939
Vicenza,2774,+1),831,272,1671,696
Belluno,1149,+1),472,98,579,802
Rovigo,433,0,160,31,242,402
Domicilio fuori Veneto,296,-2,147,12,137,
Assegnazione in corso,33,-2,33,0,0,
