residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3779,0,790,248,2741,740
Cluster domiciliati Comune di Vò,88,0,4,3,81,
Treviso,2551,+10),960,268,1323,1204
Venezia,2502,+13),652,220,1630,848
Verona,4800,+26),2690,425,1685,1179
Vicenza,2713,+6),1155,226,1332,1192
Belluno,1129,+2),607,82,440,1094
Rovigo,431,+1),245,31,155,573
Domicilio fuori Veneto,288,+1),159,13,116,
Assegnazione in corso,37,-1,37,0,0,
