residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3185,+22),2535,154,496,4882
Cluster domiciliati Comune di Vò,87,0,11,3,73,
Treviso,1978,+5),1430,158,390,3331
Venezia,1931,+48),1273,123,535,3290
Verona,3420,+18),2918,242,260,2341
Vicenza,2032,+23),1527,111,394,2495
Belluno,654,+1),548,35,71,1161
Rovigo,276,+2),199,17,60,611
Domicilio fuori Veneto,245,+3),190,8,47,
Assegnazione in corso,83,+1),82,1,0,
