residenza,totale positivi,delta
Belluno,23,0
Padova,171,0
Rovigo,6,+1)
Treviso,126,0
Venezia,132,+6)
Verona,66,+3)
Vicenza,52,+2)
Cluster domiciliati Comune di Vò,87,+3)
Lombardia,4,+1)
Assegnazione in corso,19,0
