residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3815,0,407,259,3149,428
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2613,0,820,283,1510,962
Venezia,2615,+4),425,256,1934,618
Verona,4959,+2),1863,481,2615,963
Vicenza,2788,+1),817,280,1691,654
Belluno,1150,0,459,99,592,770
Rovigo,433,0,156,32,245,318
Domicilio fuori Veneto,302,+7),150,12,140,
Assegnazione in corso,31,-2,31,0,0,
