residenza,totale positivi,delta,isolamento
Padova (escluso domiciliati Vo'),723,+24),1871
Cluster domiciliati Comune di Vò,82,0,182
Treviso,543,+41),1268
Venezia,402,+24),1777
Verona,547,+66),1725
Vicenza,370,+45),1087
Belluno,116,+7),343
Rovigo,28,0,405
Domicilio fuori Veneto,46,+2),
Assegnazione in corso,66,+10),
