residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3247,+24),2519,156,572,4882
Cluster domiciliati Comune di Vò,87,0,10,3,74,
Treviso,1983,0,1429,161,393,3331
Venezia,1968,+11),1248,128,592,3523
Verona,3519,+24),2987,247,285,2332
Vicenza,2068,+13),1520,111,437,2516
Belluno,683,+19),573,36,74,1161
Rovigo,280,0,200,18,62,611
Domicilio fuori Veneto,249,+1),188,8,53,
Assegnazione in corso,86,+1),85,1,0,
