residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3606,+26),1887,200,1519,1856
Cluster domiciliati Comune di Vò,87,0,8,3,76,
Treviso,2325,+10),1387,208,730,2285
Venezia,2177,+34),1018,162,997,1993
Verona,3998,+24),3023,304,671,1580
Vicenza,2379,+40),1594,151,634,2263
Belluno,904,+48),678,51,175,1121
Rovigo,307,+1),215,23,69,560
Domicilio fuori Veneto,278,+7),186,9,83,
Assegnazione in corso,66,+2),65,1,0,
