residenza,totale positivi,delta
Belluno,10,+4)
Padova,118,+6)
Rovigo,4,0
Treviso,109,+1)
Venezia,96,+10)
Verona,50,+1)
Vicenza,30,+5)
Cluster domiciliati Comune di Vò,84,0
Lombardia,3,0
Assegnazione in corso,7,-4
