residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),2999,+30),2548,131,320,4834
Cluster domiciliati Comune di Vò,87,0,14,3,70,
Treviso,1863,0,1415,145,303,3742
Venezia,1695,+65),1285,112,298,3427
Verona,2951,+31),2561,219,171,2479
Vicenza,1856,+74),1474,92,290,2585
Belluno,609,+7),525,30,54,1211
Rovigo,236,+4),192,10,34,608
Domicilio fuori Veneto,224,-1,184,7,33,
Assegnazione in corso,102,+2),101,1,0,
