residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3844,0,58,291,3495,148
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2661,0,260,316,2085,177
Venezia,2666,0,113,290,2263,162
Verona,5103,0,346,563,4194,332
Vicenza,2851,0,179,326,2346,115
Belluno,1175,0,87,110,978,139
Rovigo,442,0,10,34,398,72
Domicilio fuori Veneto,316,0,116,15,185,
Assegnazione in corso,28,0,27,0,1,
