residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3854,0,52,296,3506,116
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2666,0,177,320,2169,126
Venezia,2678,+4),91,295,2292,114
Verona,5110,0,169,570,4371,258
Vicenza,2855,0,85,334,2436,103
Belluno,1181,+1),51,111,1019,69
Rovigo,443,0,9,34,400,45
Domicilio fuori Veneto,317,+2),114,15,188,
Assegnazione in corso,27,0,26,0,1,
