residenza,totale positivi,delta,isolamento
Padova (escluso domiciliati Vo'),1415,+34),2744
Cluster domiciliati Comune di Vò,83,0,51
Treviso,1102,+11),2286
Venezia,840,+3),3753
Verona,1236,+8),3220
Vicenza,783,+39),2298
Belluno,280,+7),1080
Rovigo,83,+1),788
Domicilio fuori Veneto,102,0,
Assegnazione in corso,145,+18),
