residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3870,0,49,303,3518,27
Cluster domiciliati Comune di Vò,88,0,0,5,83,
Treviso,2683,0,59,326,2298,135
Venezia,2683,+1),21,300,2362,99
Verona,5129,0,43,574,4512,291
Vicenza,2870,0,56,352,2462,63
Belluno,1194,0,22,112,1060,96
Rovigo,444,0,4,36,404,52
Domicilio fuori Veneto,326,0,115,15,196,
Assegnazione in corso,23,0,21,0,2,
