residenza,totale positivi,delta,isolamento
Padova (escluso domiciliati Vo'),971,+28),2443
Cluster domiciliati Comune di Vò,83,0,52
Treviso,768,+49),1685
Venezia,611,+37),2649
Verona,827,+43),2531
Vicenza,517,-1,1994
Belluno,197,+2),610
Rovigo,62,-5,468
Domicilio fuori Veneto,50,-4,
Assegnazione in corso,151,+57),
