residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3856,0,47,298,3511,131
Cluster domiciliati Comune di Vò,88,0,0,4,84,
Treviso,2666,0,128,324,2214,231
Venezia,2680,0,76,298,2306,105
Verona,5118,0,79,572,4467,277
Vicenza,2856,0,63,343,2450,50
Belluno,1183,0,35,112,1036,53
Rovigo,443,0,9,35,399,68
Domicilio fuori Veneto,319,0,116,15,188,
Assegnazione in corso,26,0,25,0,1,
