residenza,totale positivi,delta,isolamento
Padova (escluso domiciliati Vo'),901,+59),2308
Cluster domiciliati Comune di Vò,82,0,52
Treviso,670,+33),1549
Venezia,501,+26),2023
Verona,718,+32),1720
Vicenza,455,+31),1551
Belluno,168,+18),447
Rovigo,56,+4),474
Domicilio fuori Veneto,53,+3),
Assegnazione in corso,147,+61),
