residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3861,0,41,301,3519,25
Cluster domiciliati Comune di Vò,88,0,0,5,83,
Treviso,2672,+2),100,325,2247,135
Venezia,2682,0,30,299,2353,89
Verona,5126,0,58,572,4496,252
Vicenza,2864,0,63,343,2458,48
Belluno,1190,+3),26,112,1052,92
Rovigo,444,0,5,36,403,70
Domicilio fuori Veneto,324,0,115,15,194,
Assegnazione in corso,24,0,22,0,2,
