residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),2484,+17),2231,94,159,4206
Cluster domiciliati Comune di Vò,86,0,17,3,66,
Treviso,1665,+8),1380,118,167,4196
Venezia,1343,+22),1125,93,125,4409
Verona,2504,+16),2232,182,90,2800
Vicenza,1553,+39),1339,77,137,2679
Belluno,508,+9),458,22,28,1349
Rovigo,183,+3),162,5,16,599
Domicilio fuori Veneto,185,+2),163,4,18,
Assegnazione in corso,70,+1),70,0,0,
