residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3871,0,50,303,3518,36
Cluster domiciliati Comune di Vò,88,0,0,5,83,
Treviso,2687,+1),59,326,2302,158
Venezia,2683,0,21,300,2362,133
Verona,5129,0,40,574,4515,245
Vicenza,2871,+1),55,352,2464,70
Belluno,1194,0,23,112,1059,90
Rovigo,444,0,2,36,406,49
Domicilio fuori Veneto,328,0,117,15,196,
Assegnazione in corso,23,0,21,0,2,
