residenza,totale positivi,delta
Belluno,27,+1)
Padova,186,+2)
Rovigo,6,0
Treviso,142,+1)
Venezia,145,+12)
Verona,87,+8)
Vicenza,56,0
Cluster domiciliati Comune di Vò,88,+1)
Lombardia,5,0
Assegnazione in corso,29,+2)
