residenza,totale positivi,delta
Padova (escluso domiciliati Vo'),450,+9)
Cluster domiciliati Comune di Vò,82,0
Treviso,338,+11)
Venezia,256,+8)
Verona,239,+29)
Vicenza,143,+2)
Belluno,66,+7)
Rovigo,16,0
Domicilio fuori Veneto,26,+1)
Assegnazione in corso,57,+11)
