residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3844,0,65,288,3491,148
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2661,+2),271,314,2076,204
Venezia,2666,-1,127,288,2251,182
Verona,5102,+1),385,561,4156,330
Vicenza,2848,0,203,325,2320,131
Belluno,1175,0,91,110,974,151
Rovigo,442,0,10,34,398,79
Domicilio fuori Veneto,316,0,118,15,183,
Assegnazione in corso,28,0,27,0,1,
