residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3707,+25),1654,222,1831,
Cluster domiciliati Comune di Vò,87,0,6,3,78,
Treviso,2420,+25),1254,236,930,
Venezia,2340,+32),998,184,1158,
Verona,4398,+176),3021,332,1045,
Vicenza,2483,+29),1500,169,814,
Belluno,1042,+55),730,59,253,
Rovigo,413,+10),289,28,96,
Domicilio fuori Veneto,288,0,177,10,101,
Assegnazione in corso,51,-4,50,1,0,
