residenza,totale positivi,delta
Belluno,29,0
Padova,241,+34)
Rovigo,10,0
Treviso,158,0
Venezia,160,+8)
Verona,106,+10)
Vicenza,75,+2)
Cluster domiciliati Comune di Vò,89,0
Lombardia,5,0
Assegnazione in corso,40,+3)
