residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3865,0,43,303,3519,25
Cluster domiciliati Comune di Vò,88,0,0,5,83,
Treviso,2673,0,76,325,2272,134
Venezia,2682,0,26,300,2356,94
Verona,5128,-1,52,574,4502,296
Vicenza,2867,+1),54,352,2461,52
Belluno,1194,+2),26,112,1056,100
Rovigo,444,0,5,36,403,57
Domicilio fuori Veneto,326,+1),116,15,195,
Assegnazione in corso,22,0,20,0,2,
