residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),2915,+37),2575,126,214,4789
Cluster domiciliati Comune di Vò,87,0,17,3,67,
Treviso,1768,+30),1412,142,214,3912
Venezia,1557,+14),1288,107,162,3419
Verona,2866,+10),2539,210,117,2521
Vicenza,1737,+3),1454,91,192,2398
Belluno,580,+3),518,28,34,1246
Rovigo,225,+7),188,8,29,581
Domicilio fuori Veneto,203,-2,172,6,25,
Assegnazione in corso,83,-6,82,1,0,
