residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3887,+4),66,309,3512,75
Cluster domiciliati Comune di Vò,88,0,0,5,83,
Treviso,2692,+1),57,326,2309,209
Venezia,2692,+1),27,302,2363,207
Verona,5132,+1),38,577,4517,366
Vicenza,2874,0,46,354,2474,62
Belluno,1197,0,21,113,1063,129
Rovigo,445,+1),2,36,407,62
Domicilio fuori Veneto,330,-1,116,15,199,
Assegnazione in corso,21,0,19,0,2,
